feature_id	Domain	Phylum	Class	Order	Family	Genus	Species
2ff44ebcf27e55fd5e31e5dc74d64175	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Catonella	unidentified
2ff7adf71ee57128117adc4cb534ec13	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Coprobacillus	Coprobacillus NA
2ff95764095da4349b5e4259922ba006	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	uncultured bacterium
2ff9c49a5ef662d5888255606b7da16e	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella 9	Prevotella 9 NA
2ffae32fab38c5aafe5ec23ba0bfd7c4	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella 9	Prevotella 9 NA
2ffcef351006ea5b60ee3d35de6a09ed	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	Alloprevotella NA
2ffdd1877e1ff1810a100c8378544aac	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Haemophilus	Haemophilus NA
2fff50fb01eb3473d079d6de3cf42e53	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium NA
300119ea714cdebf6a8af46ecf34614d	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	Bacteroidales oral
300468ef554b25a5281005bb5ef1e010	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostipes	Anaerostipes NA
300a3fae9c66d3b53485e9127df2dd75	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter showae
3013314de4e3167e494a839507ff7182	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium sensu stricto 1	Clostridium paraputrificum
301459fc1e2c0c5001ccebf869f8e632	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	uncultured bacterium
30188712d7fc930d71fa0afb1ddac5fd	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides NA
30195ba049daf2911f76821e505f7451	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Flavonifractor	Flavonifractor NA
3026148d0130a9782c191e4aa9f1d14d	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia NA
3032ea1566419a8a763c0449162c2808	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus kalixensis
30365af77b23259f1e05b7bd2cfa2cf2	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcaceae NA	Ruminococcaceae NA
3037d2f8de33475f60ca78f4af3ea1c4	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio NA
